TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionAmount_bin,Target
14.09,1,36,0,70.0,0,81.0,1.0,5112.21,Rendah,1
376.24,1,15,0,68.0,0,141.0,1.0,13758.91,Sangat Tinggi,2
126.29,1,23,2,19.0,3,56.0,1.0,1122.35,Sedang,3
184.5,1,33,2,26.0,3,25.0,1.0,8569.06,Sedang,2
92.15,1,28,0,18.0,3,172.0,1.0,781.68,Sedang,3
7.08,0,39,0,37.0,0,139.0,1.0,13316.71,Rendah,2
171.42,0,16,1,67.0,2,291.0,1.0,2796.24,Sedang,4
106.23,0,11,1,51.0,1,86.0,1.0,9095.14,Sedang,2
815.96,1,26,0,55.0,0,120.0,1.0,1021.88,Sangat Tinggi,0
17.78,0,0,2,52.0,1,59.0,1.0,7599.52,Rendah,2
190.02,1,22,2,21.0,3,173.0,1.0,1528.81,Sedang,3
494.52,0,23,1,24.0,3,111.0,1.0,1620.02,Sangat Tinggi,3
781.76,1,22,0,26.0,3,123.0,1.0,189.69,Sangat Tinggi,0
166.99,1,21,2,18.0,3,134.0,1.0,299.93,Sedang,3
465.45,1,10,0,36.0,1,129.0,1.0,3465.54,Sangat Tinggi,0
555.8,0,2,1,19.0,3,158.0,1.0,1131.26,Sangat Tinggi,0
492.93,1,8,2,39.0,1,234.0,1.0,5109.97,Sangat Tinggi,4
18.68,0,0,1,59.0,2,106.0,1.0,7948.37,Rendah,1
71.48,0,8,2,18.0,3,169.0,1.0,6568.59,Rendah,3
59.32,1,20,1,71.0,2,38.0,1.0,5750.89,Rendah,1
85.77,1,19,1,38.0,0,93.0,1.0,9146.19,Sedang,2
145.54,1,33,2,21.0,3,96.0,1.0,1930.96,Sedang,3
7.49,0,15,2,65.0,2,276.0,1.0,3634.67,Rendah,4
40.32,1,25,1,37.0,1,95.0,1.0,2686.52,Rendah,3
127.45,1,19,2,44.0,0,197.0,1.0,1772.06,Sedang,4
56.17,1,11,1,27.0,3,283.0,1.0,1351.69,Rendah,4
28.31,0,24,2,59.0,0,20.0,1.0,8334.47,Rendah,1
59.12,1,3,0,29.0,0,257.0,1.0,9823.64,Rendah,4
877.81,1,20,2,22.0,3,150.0,1.0,399.0,Sangat Tinggi,0
255.26,0,37,1,45.0,0,50.0,1.0,14815.87,Tinggi,2
124.76,1,39,1,49.0,1,45.0,1.0,5764.72,Sedang,1
78.13,1,25,1,26.0,3,145.0,1.0,900.61,Rendah,3
335.63,1,28,2,55.0,2,216.0,1.0,1019.39,Tinggi,4
328.47,1,35,0,63.0,2,119.0,1.0,4323.66,Tinggi,1
34.02,1,30,2,38.0,0,19.0,1.0,14214.48,Rendah,2
241.42,0,5,2,57.0,0,116.0,1.0,13357.02,Tinggi,2
55.32,1,40,0,19.0,3,117.0,1.0,241.79,Rendah,3
304.31,1,21,1,27.0,3,33.0,1.0,868.61,Tinggi,3
164.49,1,3,1,26.0,3,75.0,1.0,1509.27,Sedang,3
510.24,1,28,2,19.0,3,105.0,1.0,781.7,Sangat Tinggi,3
626.9,1,10,2,26.0,3,138.0,1.0,265.51,Sangat Tinggi,0
425.34,0,18,2,69.0,2,121.0,1.0,3907.54,Sangat Tinggi,1
85.43,1,41,1,67.0,0,145.0,1.0,14904.9,Sedang,2
169.5,1,36,1,28.0,3,142.0,1.0,918.88,Sedang,3
104.63,1,29,0,62.0,2,90.0,1.0,4477.78,Sedang,1
316.95,1,23,1,25.0,3,83.0,1.0,1324.03,Tinggi,3
60.54,0,8,1,57.0,2,52.0,1.0,3534.93,Rendah,1
292.56,0,9,1,68.0,2,61.0,1.0,4638.37,Tinggi,1
386.52,1,16,1,48.0,1,28.0,1.0,5630.61,Sangat Tinggi,1
112.07,1,18,1,23.0,3,51.0,1.0,930.3,Sedang,3
349.64,1,19,2,48.0,1,226.0,1.0,6651.62,Tinggi,4
601.4,0,30,1,56.0,1,104.0,1.0,8458.29,Sangat Tinggi,0
5.77,1,5,2,50.0,0,124.0,1.0,13988.12,Rendah,2
201.33,0,26,1,42.0,1,186.0,1.0,2585.07,Tinggi,4
298.42,1,16,1,56.0,2,225.0,1.0,3014.75,Tinggi,4
521.06,1,0,1,25.0,3,128.0,1.0,1951.42,Sangat Tinggi,0
117.28,0,2,2,60.0,1,16.0,1.0,3665.77,Sedang,1
133.55,1,1,0,44.0,1,220.0,1.0,3846.28,Sedang,4
143.21,1,9,2,35.0,1,135.0,1.0,6374.82,Sedang,2
24.77,1,4,0,62.0,2,55.0,1.0,5866.01,Rendah,1
233.92,0,17,2,26.0,3,280.0,1.0,6537.62,Tinggi,4
91.53,1,25,1,44.0,0,69.0,1.0,14676.05,Sedang,2
120.29,1,24,1,19.0,3,77.0,1.0,1362.39,Sedang,3
174.25,1,39,2,50.0,0,67.0,1.0,10528.34,Sedang,2
183.71,1,10,0,38.0,1,102.0,1.0,552.52,Sedang,3
259.91,1,10,2,49.0,0,170.0,1.0,7176.86,Tinggi,4
154.71,1,36,2,34.0,0,157.0,1.0,1523.72,Sedang,3
24.56,1,23,1,64.0,0,69.0,1.0,9869.93,Rendah,2
9.61,0,36,2,58.0,0,179.0,1.0,12883.91,Rendah,2
392.96,1,18,2,24.0,3,100.0,1.0,791.65,Sangat Tinggi,3
716.93,0,25,2,60.0,2,34.0,1.0,4064.02,Sangat Tinggi,0
230.66,1,15,1,21.0,3,135.0,1.0,618.05,Tinggi,3
644.17,1,35,0,29.0,1,72.0,1.0,1143.52,Sangat Tinggi,0
508.68,0,23,1,51.0,1,127.0,1.0,7708.41,Sangat Tinggi,0
